setting,registered_in,readers,status
nav_item_image,"plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\backgrounds\functions\secondary-nav-backgrounds.php","plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\secondary-nav\functions\functions.php",CONNECTED
nav_item_repeat,"plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\backgrounds\functions\secondary-nav-backgrounds.php","plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\secondary-nav\functions\functions.php",CONNECTED
nav_layout_setting,"themes/aureon\inc\customizer.php","themes/aureon\inc\markup.php | plugins/aureon-studio\woocommerce\functions\functions.php",CONNECTED
nav_position_setting,"themes/aureon\inc\customizer.php","themes/aureon\inc\css-output.php | themes/aureon\inc\theme-functions.php | plugins/aureon-studio\secondary-nav\functions\functions.php",CONNECTED
nav_repeat,"plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\backgrounds\functions\secondary-nav-backgrounds.php","plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\secondary-nav\functions\functions.php",CONNECTED
nav_search,"themes/aureon\inc\customizer.php","themes/aureon\inc\css-output.php | themes/aureon\inc\customizer\fields\primary-navigation.php | themes/aureon\inc\customizer.php | themes/aureon\inc\general.php | themes/aureon\inc\markup.php | themes/aureon\inc\structure\navigation.php",CONNECTED
nav_search_modal,"themes/aureon\inc\customizer.php","themes/aureon\inc\customizer\fields\search-modal.php | themes/aureon\inc\structure\navigation.php | themes/aureon\inc\structure\search-modal.php",CONNECTED
navigation_as_header,"plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php","themes/aureon\inc\plugin-compat.php | plugins/aureon-studio\elements\class-elements-helper.php | plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php | plugins/aureon-studio\secondary-nav\functions\functions.php | plugins/aureon-studio\typography\functions\functions.php",CONNECTED
navigation_background_color,"themes/aureon\inc\customizer\fields\primary-navigation.php | plugins/aureon-studio\colors\functions\functions.php | plugins/aureon-studio\colors\functions\secondary-nav-colors.php","themes/aureon\inc\css-output.php | themes/aureon\inc\plugin-compat.php | plugins/aureon-studio\elements\class-hero.php | plugins/aureon-studio\secondary-nav\functions\functions.php",CONNECTED
navigation_background_current_color,"themes/aureon\inc\customizer\fields\primary-navigation.php | plugins/aureon-studio\colors\functions\functions.php | plugins/aureon-studio\colors\functions\secondary-nav-colors.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\secondary-nav\functions\functions.php",CONNECTED
navigation_background_hover_color,"themes/aureon\inc\customizer\fields\primary-navigation.php | plugins/aureon-studio\colors\functions\functions.php | plugins/aureon-studio\colors\functions\secondary-nav-colors.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\secondary-nav\functions\functions.php",CONNECTED
navigation_font_size,"plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\css-output.php",CONNECTED
navigation_font_transform,"plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\css-output.php",CONNECTED
navigation_font_weight,"plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\css-output.php",CONNECTED
navigation_search_background_color,"themes/aureon\inc\customizer\fields\primary-navigation.php | plugins/aureon-studio\colors\functions\functions.php","themes/aureon\inc\css-output.php",CONNECTED
navigation_search_text_color,"themes/aureon\inc\customizer\fields\primary-navigation.php | plugins/aureon-studio\colors\functions\functions.php","themes/aureon\inc\css-output.php",CONNECTED
navigation_text_color,"themes/aureon\inc\customizer\fields\primary-navigation.php | plugins/aureon-studio\colors\functions\secondary-nav-colors.php","themes/aureon\inc\css-output.php | themes/aureon\inc\plugin-compat.php | plugins/aureon-studio\elements\class-hero.php | plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php | plugins/aureon-studio\secondary-nav\functions\functions.php | plugins/aureon-studio\woocommerce\functions\functions.php",CONNECTED
navigation_text_current_color,"themes/aureon\inc\customizer\fields\primary-navigation.php | plugins/aureon-studio\colors\functions\secondary-nav-colors.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\secondary-nav\functions\functions.php",CONNECTED
navigation_text_hover_color,"themes/aureon\inc\customizer\fields\primary-navigation.php | plugins/aureon-studio\colors\functions\secondary-nav-colors.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\secondary-nav\functions\functions.php",CONNECTED
off_canvas_desktop_toggle_label,"plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php","plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php",CONNECTED
off_canvas_menu_item_height,"plugins/aureon-studio\spacing\functions\customizer\navigation-spacing.php","plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
off_canvas_panel_on_add_to_cart,"plugins/aureon-studio\woocommerce\functions\customizer\customizer.php","plugins/aureon-studio\woocommerce\functions\functions.php",CONNECTED
page_header_position,"plugins/aureon-studio\page-header\functions\functions.php","plugins/aureon-studio\blog\functions\migrate.php | plugins/aureon-studio\page-header\functions\functions.php",CONNECTED
page_post_image,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\aureon-blog.php | plugins/aureon-studio\blog\functions\images.php | plugins/aureon-studio\library\customizer\active-callbacks.php",CONNECTED
page_post_image_alignment,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\library\customizer\active-callbacks.php",CONNECTED
page_post_image_height,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\images.php",CONNECTED
page_post_image_padding,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\aureon-blog.php",CONNECTED
page_post_image_position,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\migrate.php | plugins/aureon-studio\library\customizer\active-callbacks.php",CONNECTED
page_post_image_size,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\images.php",CONNECTED
page_post_image_width,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\images.php",CONNECTED
paragraph_margin,"themes/aureon\inc\typography.php | plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\block-editor.php | themes/aureon\inc\class-typography-migration.php | themes/aureon\inc\css-output.php",CONNECTED
post_content,"themes/aureon\inc\customizer.php | plugins/aureon-studio\blog\functions\customizer.php","themes/aureon\inc\theme-functions.php | plugins/aureon-studio\library\customizer\active-callbacks.php | plugins/aureon-studio\library\customizer\deprecated.php",CONNECTED
post_header_position,"plugins/aureon-studio\page-header\functions\functions.php","plugins/aureon-studio\blog\functions\migrate.php | plugins/aureon-studio\page-header\functions\functions.php",CONNECTED
post_image,"plugins/aureon-studio\blog\functions\customizer.php","frontend\adapters\adapter-blog.php | plugins/aureon-studio\blog\functions\aureon-blog.php | plugins/aureon-studio\blog\functions\images.php | plugins/aureon-studio\library\customizer\active-callbacks.php",CONNECTED
post_image_alignment,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\aureon-blog.php | plugins/aureon-studio\library\customizer\active-callbacks.php",CONNECTED
post_image_height,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\images.php",CONNECTED
post_image_padding,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\aureon-blog.php",CONNECTED
post_image_position,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\aureon-blog.php | plugins/aureon-studio\blog\functions\images.php",CONNECTED
post_image_size,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\images.php",CONNECTED
